time,pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,kategori,tempmax,tempmin,humidity,dew,precip,precipprob,precipcover,windgust,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex
2021-05-04,59,77,31,14,14,26,SEDANG,91.4,77.5,74.1,75.0,0.0,0,0.0,15.4,8.8,110.4,46.4,3.7,228.0,19.8,8
2021-05-05,58,82,22,18,14,38,SEDANG,90.1,78.8,77.8,76.0,1.333,100,4.17,12.1,8.7,31.7,53.9,3.3,211.1,18.5,8
2021-05-06,49,65,19,16,18,38,SEDANG,89.6,76.3,82.8,75.5,0.25,100,8.33,11.9,10.3,334.8,61.7,3.5,205.2,17.7,8
2021-05-07,54,70,20,26,19,45,SEDANG,93.9,76.3,77.1,75.7,0.03,100,4.17,13.9,12.8,33.0,49.1,3.7,229.0,19.7,8
2021-05-08,52,69,20,12,19,28,SEDANG,90.2,77.0,79.7,76.9,0.011,100,8.33,11.9,13.6,44.6,55.8,3.6,211.0,18.2,8
2021-05-09,41,57,18,9,26,21,SEDANG,92.1,75.2,78.8,75.7,1.846,100,8.33,11.6,11.4,76.9,59.4,3.7,243.2,21.1,8
2021-05-10,47,69,19,10,25,21,SEDANG,91.5,78.8,75.0,75.6,0.172,100,8.33,14.1,11.1,81.6,47.5,3.7,236.6,20.5,8
2021-05-11,60,88,24,12,25,24,SEDANG,94.6,79.3,71.5,75.4,0.0,0,0.0,13.0,13.1,62.5,38.7,3.8,249.5,21.5,8
2021-05-12,59,79,21,10,25,21,SEDANG,92.0,79.3,75.1,76.6,0.0,0,0.0,12.8,14.9,98.8,47.3,3.5,243.5,21.1,8
2021-05-13,70,110,24,14,24,20,TIDAK SEHAT,91.4,78.8,73.5,75.8,0.002,100,4.17,14.1,13.1,82.9,42.3,3.5,239.7,20.7,9
2021-05-14,52,72,24,8,25,14,SEDANG,91.6,78.8,70.7,74.2,0.0,0,0.0,15.0,16.6,104.9,49.0,3.8,235.5,20.4,9
2021-05-15,51,67,26,11,20,19,SEDANG,92.0,78.8,70.5,74.6,0.0,0,0.0,13.9,13.9,82.0,48.9,3.7,240.8,20.9,8
2021-05-16,51,65,23,8,20,16,SEDANG,92.7,79.3,71.7,74.9,0.0,0,0.0,10.7,9.8,77.6,47.0,3.8,214.4,18.6,7
2021-06-20,81,108,66,18,44,35,TIDAK SEHAT,87.8,73.0,84.4,74.2,0.079,100,8.33,23.0,13.8,188.9,58.5,3.1,168.4,14.4,7
2021-06-21,62,75,55,14,44,28,SEDANG,87.3,70.6,87.0,74.1,0.005,100,4.17,24.2,14.6,255.3,57.2,3.3,193.4,16.8,8
2021-06-22,59,72,54,14,38,27,SEDANG,88.5,75.2,76.8,73.2,0.0,0,0.0,18.3,9.0,323.6,44.5,3.7,201.4,17.3,7
2021-06-23,66,91,51,13,51,28,SEDANG,86.1,75.7,81.7,74.9,0.003,100,12.5,13.6,8.8,267.1,61.1,3.2,169.3,14.8,7
2021-06-24,80,99,54,14,42,28,SEDANG,87.3,75.2,82.8,74.6,0.001,100,4.17,19.5,8.5,87.5,56.8,3.2,153.4,13.2,6
2021-06-25,70,84,58,12,40,23,SEDANG,91.1,75.7,79.5,75.2,0.0,0,0.0,14.8,11.8,94.2,46.0,3.3,216.1,18.8,8
2021-06-26,62,79,53,9,53,17,SEDANG,89.6,77.5,74.8,74.3,0.0,0,0.0,17.2,12.8,90.5,46.7,3.8,201.0,17.4,7
2021-06-27,67,94,57,11,57,18,SEDANG,90.7,76.5,79.9,75.3,0.004,100,4.17,15.2,17.9,303.7,49.9,3.3,208.5,18.2,7
2021-06-28,65,93,53,16,61,28,SEDANG,87.9,77.0,78.2,74.9,0.0,0,0.0,12.3,9.5,93.5,54.9,3.2,169.3,14.7,7
2021-06-29,75,102,52,12,51,18,TIDAK SEHAT,89.7,76.5,77.4,74.0,0.017,100,8.33,15.2,15.5,277.5,49.8,3.4,203.0,17.7,7
2021-06-30,79,105,57,14,55,28,TIDAK SEHAT,86.7,77.0,80.5,74.5,0.001,100,4.17,16.1,10.2,297.5,59.6,3.4,149.1,12.8,6
2021-06-01,73,105,43,12,---,22,TIDAK SEHAT,90.9,78.8,80.2,76.3,0.009,100,4.17,11.0,10.0,34.2,55.5,3.2,209.8,18.1,8
2021-06-02,62,81,45,8,---,17,SEDANG,90.9,77.5,79.5,76.1,0.018,100,8.33,13.6,8.7,79.7,52.4,3.5,205.2,17.5,7
2021-06-03,58,78,49,8,---,16,SEDANG,91.4,77.5,79.6,77.2,0.304,100,8.33,13.9,9.8,69.9,50.5,3.4,197.3,17.0,7
2021-06-04,59,86,48,6,---,15,SEDANG,92.7,78.8,79.5,77.5,0.001,100,4.17,31.1,15.0,97.5,59.7,3.4,209.3,18.3,8
2021-06-05,58,87,44,8,23,15,SEDANG,90.9,77.5,78.0,76.6,0.0,0,0.0,10.1,9.0,25.1,49.7,3.5,224.3,19.5,8
2021-06-06,63,95,45,11,26,19,SEDANG,90.9,78.1,78.7,75.9,1.227,100,8.33,11.2,10.4,325.2,59.5,3.3,212.1,18.5,7
2021-06-07,55,78,47,7,24,14,SEDANG,90.9,75.7,77.5,75.1,0.0,0,0.0,9.6,11.2,330.1,47.3,3.6,229.7,19.9,8
2021-06-08,54,82,48,7,34,15,SEDANG,89.9,77.5,76.2,75.7,0.0,0,0.0,11.2,9.8,291.7,48.7,3.7,226.2,19.6,8
2021-06-09,59,88,48,8,26,16,SEDANG,89.8,77.0,79.3,75.8,0.076,100,4.17,13.4,13.9,52.9,48.5,3.6,207.8,18.0,7
2021-06-10,67,97,48,14,26,22,SEDANG,91.1,78.8,75.3,75.1,0.003,100,4.17,11.0,10.7,12.8,50.6,3.3,219.9,18.9,8
2021-06-11,60,86,47,9,30,17,SEDANG,89.6,75.7,78.7,75.3,0.648,100,12.5,16.6,16.6,256.9,55.5,3.3,193.2,16.7,8
2021-06-12,53,73,49,6,35,13,SEDANG,92.9,76.5,76.6,75.2,0.001,100,4.17,15.7,11.6,96.4,44.2,3.8,225.6,19.3,8
2021-06-13,49,71,49,6,32,12,SEDANG,92.7,77.0,76.8,75.9,0.039,100,8.33,23.0,14.1,99.2,48.7,3.6,204.5,17.6,7
2021-06-14,59,88,49,7,23,15,SEDANG,89.6,77.5,76.6,74.7,0.0,0,0.0,19.9,12.8,103.1,53.6,3.5,211.0,18.3,8
2021-06-15,73,114,52,9,24,21,TIDAK SEHAT,90.9,77.3,80.1,74.5,0.021,100,8.33,17.9,14.9,110.8,57.3,3.5,174.4,15.3,6
2021-06-16,63,89,51,10,21,17,SEDANG,89.6,77.0,83.0,75.2,0.047,100,8.33,16.3,11.8,67.3,53.2,3.3,154.3,13.4,6
2021-06-17,66,99,50,14,21,19,SEDANG,87.8,77.0,85.0,76.0,0.009,100,8.33,10.3,11.4,104.2,58.3,3.0,122.1,10.6,4
2021-06-18,62,87,48,10,25,21,SEDANG,87.3,75.2,84.0,74.9,0.04,100,12.5,14.3,11.4,128.4,54.7,3.3,179.5,15.5,7
2021-06-19,63,93,50,7,18,22,SEDANG,80.6,76.0,91.4,75.4,0.702,100,8.33,9.2,6.9,318.7,63.0,2.7,161.4,13.9,7
2021-07-01,55,76,27,14,20,31,SEDANG,87.3,76.5,84.3,74.7,0.459,100,12.5,17.0,17.2,69.1,63.1,3.1,163.2,14.2,7
2021-07-02,55,70,33,16,14,30,SEDANG,90.9,75.2,75.7,74.1,0.0,0,0.0,19.2,15.0,84.8,49.8,3.7,209.2,17.9,7
2021-07-03,58,81,33,12,19,25,SEDANG,92.3,77.0,71.5,72.9,0.0,0,0.0,11.4,14.3,79.3,39.8,3.6,242.8,20.9,8
2021-07-04,68,102,27,11,27,22,TIDAK SEHAT,92.5,75.7,71.5,73.0,0.0,0,0.0,10.3,9.2,54.0,42.2,3.3,233.5,20.2,8
2021-07-05,71,106,28,12,34,25,TIDAK SEHAT,90.3,77.0,74.3,74.4,0.002,100,4.17,9.8,9.2,358.9,52.5,3.0,231.2,19.9,8
2021-07-06,56,74,26,9,29,29,SEDANG,89.6,76.5,70.7,72.7,0.0,0,0.0,11.0,10.7,346.8,50.3,3.5,231.5,20.0,8
2021-07-07,64,86,34,10,22,27,SEDANG,90.9,75.2,69.8,72.0,0.0,0,0.0,13.0,11.1,104.6,46.2,3.5,219.0,18.8,7
2021-07-08,68,94,32,10,26,26,SEDANG,91.4,75.2,68.2,71.0,0.0,0,0.0,12.8,11.4,86.9,41.1,3.4,233.2,20.1,8
2021-07-09,70,101,33,9,28,25,TIDAK SEHAT,92.7,77.0,68.8,72.6,0.0,0,0.0,18.3,11.0,82.7,44.9,3.6,236.4,20.4,8
2021-07-10,64,83,35,7,24,23,SEDANG,90.7,80.1,76.2,75.7,0.0,0,0.0,25.3,16.2,89.1,48.9,3.8,184.2,15.9,7
2021-07-11,54,71,32,6,21,15,SEDANG,90.1,77.5,76.3,75.2,0.006,100,12.5,24.6,17.2,88.4,52.0,3.7,177.3,15.3,7
2021-07-12,46,59,29,5,18,13,SEDANG,91.7,75.7,69.8,72.4,0.0,0,0.0,24.2,17.3,87.7,44.3,3.8,240.8,20.8,8
2021-07-13,63,89,33,10,18,24,SEDANG,87.8,74.7,76.7,73.0,0.0,0,0.0,15.0,13.7,281.5,50.6,3.3,194.6,16.8,8
2021-07-14,53,69,28,10,17,23,SEDANG,88.5,77.0,74.7,72.7,0.0,0,0.0,15.2,9.2,332.4,59.2,3.4,121.1,10.6,5
2021-07-15,66,95,31,12,24,30,SEDANG,90.3,75.2,73.4,73.1,0.0,0,0.0,12.5,10.1,312.1,46.5,3.2,247.8,21.3,9
2021-07-16,71,97,30,11,24,29,SEDANG,91.1,73.9,68.4,71.0,0.0,0,0.0,13.6,14.2,79.3,37.1,3.4,241.3,21.0,8
2021-07-17,63,80,29,8,28,20,SEDANG,92.7,75.7,68.0,71.9,0.0,0,0.0,12.8,13.9,86.1,41.4,3.8,238.8,20.6,8
2021-07-18,63,89,31,8,32,19,SEDANG,93.4,75.7,68.6,72.0,0.0,0,0.0,14.3,12.5,27.6,40.4,3.5,254.4,22.0,9
2021-07-19,66,95,26,10,32,28,SEDANG,89.6,78.8,74.8,74.4,0.0,0,0.0,12.8,8.4,24.2,49.4,3.2,222.0,19.2,8
2021-07-20,74,100,27,15,24,24,SEDANG,90.9,75.7,77.9,74.9,0.001,100,4.17,14.5,9.4,44.8,49.5,3.2,206.2,17.7,8
2021-07-21,48,66,27,7,26,17,SEDANG,89.6,77.5,75.3,74.5,0.001,100,4.17,12.3,11.4,336.4,60.0,3.6,217.9,18.9,8
2021-07-22,53,76,31,9,24,26,SEDANG,89.1,76.3,76.1,74.8,0.001,100,4.17,13.0,10.3,68.2,55.2,3.4,214.2,18.3,7
2021-07-23,58,80,26,9,27,28,SEDANG,87.8,76.3,80.4,74.5,0.732,100,16.67,14.1,11.3,306.5,63.5,3.2,210.7,18.2,7
2021-07-24,53,79,26,13,21,34,SEDANG,87.8,76.5,82.4,74.6,0.12,100,8.33,14.3,15.1,327.1,50.6,3.1,192.5,16.6,7
2021-07-25,70,108,25,23,28,38,TIDAK SEHAT,92.7,73.9,73.1,71.7,0.0,0,0.0,14.5,13.9,37.4,35.3,3.4,257.9,22.2,9
2021-07-26,65,95,27,14,17,32,SEDANG,91.4,73.9,65.3,69.4,0.0,0,0.0,16.8,16.9,77.1,35.7,3.7,262.4,22.7,9
2021-07-27,61,91,29,10,23,28,SEDANG,92.1,72.7,63.8,67.7,0.0,0,0.0,13.0,13.1,84.5,28.1,3.6,268.4,23.2,9
2021-07-28,68,102,31,13,20,30,TIDAK SEHAT,92.6,73.4,62.8,67.6,0.0,0,0.0,14.3,13.1,102.3,29.9,3.5,263.8,22.8,9
2021-07-29,59,85,28,13,24,32,SEDANG,92.1,76.5,64.7,69.8,0.0,0,0.0,14.1,11.2,282.0,44.0,3.4,257.9,22.3,9
2021-07-30,73,105,29,12,39,35,TIDAK SEHAT,92.1,77.5,69.1,72.8,0.0,0,0.0,11.2,9.2,46.7,45.4,3.4,243.1,21.1,8
2021-07-31,54,72,26,7,27,24,SEDANG,89.1,78.3,72.5,73.7,0.013,100,8.33,13.2,12.4,316.1,55.2,3.4,224.1,19.3,8
2021-05-17,47,65,22,11,24,24,SEDANG,90.9,77.0,74.6,75.6,1.034,100,4.17,13.2,11.2,15.3,55.7,3.5,209.7,18.2,8
2021-05-18,40,54,24,10,23,26,SEDANG,89.8,74.9,80.8,74.4,2.574,100,12.5,11.2,10.3,82.6,65.1,3.7,195.1,16.9,7
2021-05-19,52,69,23,17,19,36,SEDANG,91.4,78.8,76.0,75.7,0.004,100,4.17,12.3,11.2,50.8,50.8,3.6,209.6,18.1,8
2021-05-20,57,79,24,12,23,27,SEDANG,91.1,78.8,75.8,75.5,0.008,100,4.17,13.0,15.4,77.8,55.0,3.5,200.5,17.3,7
2021-05-21,52,76,24,15,22,34,SEDANG,92.1,77.5,78.1,75.6,0.003,100,4.17,11.2,11.1,350.6,52.4,3.4,223.9,19.4,8
2021-05-22,56,79,22,16,28,36,SEDANG,89.6,78.4,77.2,75.4,0.0,0,0.0,20.8,10.7,276.6,57.5,3.2,207.7,18.0,8
2021-05-23,60,91,24,21,27,37,SEDANG,89.8,77.5,79.5,75.7,0.0,0,0.0,12.8,12.4,38.5,51.3,3.1,207.5,18.1,7
2021-05-24,74,108,22,20,23,38,TIDAK SEHAT,90.9,77.0,80.1,76.6,0.348,100,8.33,11.9,12.1,39.1,62.5,3.0,215.0,18.7,8
2021-05-25,44,60,23,15,23,35,SEDANG,92.1,77.0,78.0,74.9,0.279,100,8.33,14.3,10.2,86.8,49.9,3.7,201.6,17.5,8
2021-05-26,56,77,27,11,21,24,SEDANG,91.1,78.8,76.4,76.2,0.0,0,0.0,19.9,20.8,86.0,40.7,3.8,231.8,20.1,8
2021-05-27,51,64,27,8,16,20,SEDANG,92.7,79.3,73.9,76.0,0.001,100,4.17,22.8,16.9,85.7,42.9,4.0,220.0,19.1,7
2021-05-28,54,70,29,12,16,24,SEDANG,92.8,77.5,76.0,76.1,0.003,100,4.17,14.8,10.6,80.3,42.5,3.7,242.6,20.9,8
2021-05-29,56,76,23,14,17,32,SEDANG,86.0,75.2,85.7,75.4,0.387,100,8.33,14.8,15.0,274.9,67.5,3.5,178.8,15.4,7
2021-05-30,47,61,24,16,18,29,SEDANG,90.9,75.2,80.3,75.9,0.014,100,4.17,12.8,11.1,42.7,55.3,3.6,203.2,17.6,7
2021-05-31,55,73,21,15,19,33,SEDANG,90.9,78.8,78.1,76.4,0.003,100,12.5,11.4,6.9,343.7,48.1,3.6,212.9,18.3,8
2021-08-07,59,84,45,10,23,14,SEDANG,91.6,75.7,72.4,74.0,0.0,0,0.0,21.7,14.1,86.7,42.1,4.0,227.8,19.7,8
